no,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
30,3.428571429,3.428571429,3.428571429,2.857142857,2.857142857,2.714285714,2.857142857,3,3.142857143,2.428571429,2.857142857,2.714285714,2.857142857,3.142857143,2.714285714,2.428571429
31,3.428571429,3.428571429,3.428571429,2.857142857,3,3.142857143,3,3.428571429,3.142857143,2.285714286,3.142857143,3.285714286,3.428571429,3.285714286,3,3.166666667
32,2.857142857,2.714285714,3.142857143,2.285714286,2.428571429,2.571428571,2.714285714,2.857142857,2.714285714,2.142857143,3,2.857142857,2.714285714,2.714285714,2.714285714,2.571428571
33,2.857142857,3.285714286,3.285714286,2.857142857,3,3,2.714285714,3,3.142857143,2.714285714,3,2.714285714,2.833333333,2.857142857,3.142857143,2.857142857
